name;height_m;in_service;type;p_i__barg;T_i;T_source;bus_ID;slack_bus;m_dot_i__kg_per_s;demand_m3_per_a;sink_name;sink_scaling;sink_type;sink_profile_id;x_coord;y_coord;source_bus;T_i_source
"K1097";149.89;"true";"junction";1;283.15;283.15;42;0;0;0;NaN;0;NaN;NaN;3417755.253;5369783.887;0;0
"K1099";148.41;"true";"junction";1;283.15;283.15;43;0;0;0;NaN;0;NaN;NaN;3417017.967;5369763.939;0;0
"K1101";148.28;"true";"junction";1;283.15;283.15;44;0;0;0;NaN;0;NaN;NaN;3416959.067;5369774.891;0;0
"K1102";149.07;"true";"junction";1;283.15;283.15;45;0;0;0;NaN;0;NaN;NaN;3416884.226;5369519.759;0;0
"K1121";148.74;"true";"junction";1;283.15;283.15;46;0;0;0;NaN;0;NaN;NaN;3416990.554;5369572.068;0;0
"K1122";148.54;"true";"junction";1;283.15;283.15;47;0;0;0;NaN;0;NaN;NaN;3417002.403;5369617.192;0;0
"K1123";148.58;"true";"junction";1;283.15;283.15;48;0;0;0;NaN;0;NaN;NaN;3417016.09;5369660.414;0;0
"K1124";148.64;"true";"junction";1;283.15;283.15;49;0;0;0;NaN;0;NaN;NaN;3417024.964;5369693.389;0;0
"K1125";148.53;"true";"junction";1;283.15;283.15;50;0;0;0;NaN;0;NaN;NaN;3417042.724;5369728.383;0;0
"K1126";148.17;"true";"junction";1;283.15;283.15;51;0;0;0;NaN;0;NaN;NaN;3417065.73;5369771.468;0;0
"K1127";147.88;"true";"junction";1;283.15;283.15;52;0;0;0;NaN;0;NaN;NaN;3417089.082;5369819.305;0;0
"K1128";148.18;"true";"junction";1;283.15;283.15;53;0;0;0;NaN;0;NaN;NaN;3417106.908;5369856.244;0;0
"K1129";148.02;"true";"junction";1;283.15;283.15;54;0;0;0;NaN;0;NaN;NaN;3417111.061;5369864.42;0;0
"K1074";148.07;"true";"junction";1;283.15;283.15;55;0;0;0;NaN;0;NaN;NaN;3417116.177;5369876.022;0;0
"K1119";148.87;"true";"junction";1;283.15;283.15;56;0;0;0;NaN;0;NaN;NaN;3416963.075;5369491.997;0;0
"K1133";150.51;"true";"junction";1;283.15;283.15;57;0;0;0;NaN;0;NaN;NaN;3417865.296;5368686.71;0;0
"K1134";150.31;"true";"junction";1;283.15;283.15;58;0;0;0;NaN;0;NaN;NaN;3417814.19;5368697.583;0;0
