comp_ID;name;from_bus_ID;to_bus_ID;eta_s;eta_drive;T_controlled;T_ij_out;Q_dot_cooler;eta_cooler;in_service;slack_branch;gas_powered
1;"Egtved";3;4;1;1;1;300;NaN;1;0;1;0
2;"Ellund";5;6;1;1;1;300;NaN;1;0;1;0
