pipe_ID;from_bus_ID;to_bus_ID;L_ij;D_ij;k_ij;T_env_ij;U_ij
1;1;2;26;0.3;0.0005;283;2
2;2;3;80;0.25;0.0005;283;2
3;3;4;144;0.25;0.0005;283;2
4;4;5;192;0.25;0.0005;283;2
5;5;6;106;0.15;0.0005;283;2
6;2;10;96;0.3;0.0005;283;2
7;10;9;148;0.25;0.0005;283;2
8;9;8;80;0.2;0.0005;283;2
9;8;7;76;0.15;0.0005;283;2
10;5;7;68;0.15;0.0005;283;2
11;7;13;240;0.15;0.0005;283;2
12;12;13;106;0.15;0.0005;283;2
13;11;12;108;0.25;0.0005;283;2
14;12;14;172;0.2;0.0005;283;2
15;10;11;170;0.25;0.0005;283;2
